,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
231,s179,231,57,2, 'o' 'l',ol,0.21590442722663283,haole,haole,3,1804856
232,s179,232,57,3, 'l' 'e',le,0.13610474299639463,haole,haole,3,5038239
233,s179,233,58,0,'e' 'd',ed,0.2479969928972423,edthe,edthe,2,7805967
234,s179,234,58,1, 'd' 't',dt,0.2800984741188586,edthe,edthe,2,11191
235,s179,235,58,2, 't' 'h',th,0.12784284679219127,edthe,edthe,2,22288309
236,s179,236,58,3, 'h' 'e',he,0.14404279412701726,edthe,edthe,2,21484684
237,s179,237,59,0,'v' 'a',va,0.14389618020504713,vanru,vanru,1,560130
238,s179,238,59,1, 'a' 'n',an,0.18403412587940693,vanru,vanru,1,12315713
239,s179,239,59,2, 'n' 'r',nr,0.1920513608492911,vanru,vanru,1,54341
240,s179,240,59,3, 'r' 'u',ru,0.1439115460962057,vanru,vanru,1,705492
241,s179,241,60,0,'f' 'a',fa,0.06399111775681376,faqir,faqir,2,1043958
242,s179,242,60,1, 'a' 'q',aq,0.25587750039994717,faqir,faqir,2,4924
243,s179,243,60,2, 'q' 'i',qi,0.2400000817142427,faqir,faqir,2,36
244,s179,244,60,3, 'i' 'r',ir,0.1839957251213491,faqir,faqir,2,2142678
245,s179,245,61,0,'d' 'r',dr,0.1919447248801589,druze,druze,2,
246,s179,246,61,1, 'r' 'u',ru,0.1280064983293414,druze,druze,2,705492
247,s179,247,61,2, 'u' 'z',uz,0.15206091990694404,druze,druze,2,
248,s179,248,61,3, 'z' 'e',ze,0.12797585874795914,druze,druze,2,
249,s179,249,62,0,'t' 'i',ti,0.10399532178416848,tithe,tithe,1,5135552
250,s179,250,62,1, 'i' 't',it,0.1598894940689206,tithe,tithe,1,6637233
251,s179,251,62,2, 't' 'h',th,0.16009985888376832,tithe,tithe,1,22288309
252,s179,252,62,3, 'h' 'e',he,0.16804139921441674,tithe,tithe,1,21484684
253,s179,253,63,0,'k' 'r',kr,0.15994065161794424,kremp,kremp,1,5683
254,s179,254,63,1, 'r' 'e',re,0.1040175692178309,kremp,kremp,1,10687711
