,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
157,s83,157,38,2, 'u' 'l',ul,0.2640577699057758,would,would,0
158,s83,158,38,3, 'l' 'd',ld,0.12803782802075148,would,would,0
159,s83,159,39,0,'d' 'r',dr,0.30408107535913587,druze,druze,0
160,s83,160,39,1, 'r' 'u',ru,0.2000151197426021,druze,druze,0
161,s83,161,39,2, 'u' 'z',uz,0.2720129592344165,druze,druze,0
162,s83,162,39,3, 'z' 'e',ze,0.3118770900182426,druze,druze,0
163,s83,163,40,0,'h' 'e',he,0.15995083656162024,heond,heond,0
164,s83,164,40,1, 'e' 'o',eo,0.1520957201719284,heond,heond,0
165,s83,165,40,2, 'o' 'n',on,0.17592323618009686,heond,heond,0
166,s83,166,40,3, 'n' 'd',nd,0.16791736194863915,heond,heond,0
167,s83,167,41,0,'e' 'd',ed,0.1919878306798637,edthe,edthe,2
168,s83,168,41,1, 'd' 't',dt,0.22389647411182523,edthe,edthe,2
169,s83,169,41,2, 't' 'h',th,0.12806781008839607,edthe,edthe,2
170,s83,170,41,3, 'h' 'e',he,0.11999879591166973,edthe,edthe,2
171,s83,171,42,0,'a' 'b',ab,0.24786348827183247,about,about,1
172,s83,172,42,1, 'b' 'o',bo,0.19995959009975195,about,about,1
173,s83,173,42,2, 'o' 'u',ou,0.14400192769244313,about,about,1
174,s83,174,42,3, 'u' 't',ut,0.13609455293044448,about,about,1
175,s83,175,43,0,'h' 'e',he,0.18406734196469188,heond,heond,1
176,s83,176,43,1, 'e' 'o',eo,0.5040450775995851,heond,heond,1
177,s83,177,43,2, 'o' 'n',on,0.16792750917375088,heond,heond,1
178,s83,178,43,3, 'n' 'd',nd,0.14401672687381506,heond,heond,1
179,s83,179,44,0,'f' 'a',fa,0.43207179103046656,faqir,faqir,3
180,s83,180,44,1, 'a' 'q',aq,0.2960257809609175,faqir,faqir,3
181,s83,181,44,2, 'q' 'i',qi,0.20799892069771886,faqir,faqir,3
182,s83,182,44,3, 'i' 'r',ir,0.15994530823081732,faqir,faqir,3
183,s83,183,45,0,'e' 'd',ed,0.183971188031137,edthe,edthe,3
