,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq,bf_type,meanbf_type,wf_type
255,s282,255,64,0,'a' 'b',ab,0.168076999951154,about,about,1,1203849,med,med,high
256,s282,256,64,1, 'b' 'o',bo,0.13607680005952716,about,about,1,1140702,med,med,high
257,s282,257,64,2, 'o' 'u',ou,0.23179859993979335,about,about,1,7425307,high,med,high
258,s282,258,64,3, 'u' 't',ut,0.10398939996957779,about,about,1,3257233,med,med,high
259,s282,259,65,0,'t' 'i',ti,0.16008340008556843,tithe,tithe,4,5135552,high,high,low
260,s282,260,65,1, 'i' 't',it,0.1359518999233842,tithe,tithe,4,6637233,high,high,low
261,s282,261,65,2, 't' 'h',th,0.1599242000374943,tithe,tithe,4,22288309,high,high,low
262,s282,262,65,3, 'h' 'e',he,0.1519937999546528,tithe,tithe,4,21484684,high,high,low
263,s282,263,66,0,'k' 'r',kr,0.16804609983228147,kremp,kremp,3,5683,low,med,pseudo
264,s282,264,66,1, 'r' 'e',re,0.160063800169155,kremp,kremp,3,10687711,high,med,pseudo
265,s282,265,66,2, 'e' 'm',em,0.12784639978781343,kremp,kremp,3,2039661,med,med,pseudo
266,s282,266,66,3, 'm' 'p',mp,0.3520997001323849,kremp,kremp,3,1042198,med,med,pseudo
267,s282,267,67,0,'t' 'h',th,0.14400990004651248,theme,theme,3,22288309,high,high,med
268,s282,268,67,1, 'h' 'e',he,0.184073599986732,theme,theme,3,21484684,high,high,med
269,s282,269,67,2, 'e' 'm',em,0.19993059989064932,theme,theme,3,2039661,med,high,med
270,s282,270,67,3, 'm' 'e',me,0.11192320007830858,theme,theme,3,4724108,high,high,med
271,s282,271,68,0,'p' 'u',pu,0.28806240018457174,puppy,puppy,2,514720,low,low,med
272,s282,272,68,1, 'u' 'p',up,0.5679981999564916,puppy,puppy,2,968744,med,low,med
273,s282,273,68,2, 'p' 'p',pp,0.16795499995350838,puppy,puppy,2,805170,med,low,med
